"last_recorded_age","birth_year","animal_id","datetime","found_location","intake_type","intake_condition","animal_type","neutered","sex","breed","color","adopted"
7.0,2007.0,"A006100",12/19/14 10:21 AM,"8700 Research Blvd in Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Spinone Italiano Mix","Yellow/White","false"
7.0,2007.0,"A006100",12/19/14 10:21 AM,"8700 Research Blvd in Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Spinone Italiano Mix","Yellow/White","false"
6.0,2008.0,"A006100",3/7/14 2:26 PM,"8700 Research in Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Spinone Italiano Mix","Yellow/White","false"
6.0,2008.0,"A006100",3/7/14 2:26 PM,"8700 Research in Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Spinone Italiano Mix","Yellow/White","false"
10.0,2004.0,"A047759",4/2/14 3:55 PM,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Dachshund","Tricolor","false"
16.0,1997.0,"A134067",11/16/13 9:02 AM,"12034 Research Blvd in Austin (TX)","Public Assist","Injured","Dog","Neutered","Male","Shetland Sheepdog","Brown/White","false"
15.0,1998.0,"A141142",11/16/13 2:46 PM,"Austin (TX)","Stray","Aged","Dog","Neutered","Female","Labrador Retriever/Pit Bull","Black/White","false"
15.0,1999.0,"A163459",11/14/14 3:11 PM,"Ih 35 And 41St St in Austin (TX)","Stray","Normal","Dog","Intact","Female","Miniature Schnauzer Mix","Black/Gray","false"
15.0,1999.0,"A165752",9/15/14 11:28 AM,"Gatlin Gun Rd And Brodie in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Lhasa Apso Mix","Brown/White","false"
15.0,1999.0,"A178569",3/17/14 9:45 AM,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Shetland Sheepdog Mix","White/Black","false"
18.0,1997.0,"A189592",9/18/15 5:46 PM,"Chesney And Slaughter in Austin (TX)","Stray","Normal","Dog","Neutered","Female","Shetland Sheepdog Mix","Brown/White","false"
16.0,1999.0,"A191351",11/13/15 3:57 PM,"1912 E William Cannon Rd in Austin (TX)","Stray","Normal","Cat","Intact","Female","Domestic Longhair Mix","Black/White","false"
14.0,2000.0,"A197810",12/8/14 12:30 PM,"4616 E Cesar Chavez in Austin (TX)","Stray","Normal","Cat","Neutered","Female","American Shorthair Mix","Brown Tabby/White","false"
16.0,1997.0,"A200922",10/3/13 3:47 PM,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Dachshund Mix","Black/Tan","false"
14.0,2001.0,"A208755",2/17/15 1:17 PM,"Austin (TX)","Owner Surrender","Sick","Dog","Neutered","Male","Border Collie Mix","Black/White","false"
13.0,2000.0,"A212672",11/25/13 5:18 PM,"14611  Wells Port Dr in Austin (TX)","Stray","Normal","Dog","Intact","Female","German Shepherd/Labrador Retriever","Tan/Black","false"
19.0,1994.0,"A214991",12/14/13 11:51 AM,"Austin (TX)","Euthanasia Request","Aged","Cat","Neutered","Female","Domestic Shorthair","Black","false"
13.0,2001.0,"A215368",8/4/14 1:51 PM,"Clay/Ulrich in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Newfoundland Mix","Black","false"
15.0,1998.0,"A218622",12/2/13 3:33 PM,"Austin (TX)","Owner Surrender","Sick","Dog","Neutered","Male","Pug","Gold/Gold","false"
15.0,1998.0,"A218624",12/2/13 3:33 PM,"Austin (TX)","Owner Surrender","Sick","Dog","Neutered","Male","Pug","Gold/Gold","false"
16.0,1999.0,"A221327",4/28/15 3:08 PM,"7400 Arrowmound in Austin (TX)","Stray","Injured","Dog","Neutered","Female","Staffordshire Mix","Brown/White","false"
12.0,2001.0,"A221448",10/27/13 11:17 AM,"Silver Spring Dr And Mesa Dr in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Labrador Retriever Mix","Brown/White","false"
15.0,2000.0,"A226069",10/6/15 12:29 PM,"Wheless Ln And Berkman Dr in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Labrador Retriever/Beagle","Sable/White","false"
12.0,2001.0,"A228887",11/9/13 5:00 PM,"Lincolnshire in Austin (TX)","Stray","Normal","Dog","Neutered","Female","Catahoula/Labrador Retriever","Blue Merle/Tan","false"
13.0,2002.0,"A230482",3/13/15 3:20 PM,"Austin (TX)","Euthanasia Request","Aged","Dog","Intact","Male","Queensland Heeler","Blue Merle","false"
13.0,2001.0,"A233812",9/6/14 2:37 PM,"12317 Wycliff Ln in Austin (TX)","Stray","Aged","Dog","Neutered","Male","Rottweiler/Chow Chow","Brown/Black","false"
12.0,2001.0,"A234161",12/27/13 12:13 PM,"1401 E Rundberg Ln in Austin (TX)","Stray","Normal","Cat","Neutered","Male","Domestic Shorthair Mix","Black/White","false"
